time_s,voltage_v
0.000000,0.029566
0.000100,-0.034254
0.000200,0.058558
0.000300,0.071216
0.000400,-0.070360
0.000500,-0.035070
0.000600,0.039111
0.000700,0.019414
0.000800,0.036714
0.000900,-0.002953
0.001000,0.085628
0.001100,0.082320
0.001200,0.048316
0.001300,0.102774
0.001400,0.071001
0.001500,0.005694
0.001600,0.067953
0.001700,0.002258
0.001800,0.094647
0.001900,0.048594
0.002000,0.042065
0.002100,0.017339
0.002200,0.112459
0.002300,0.043432
0.002400,0.029457
0.002500,0.032881
0.002600,0.076627
0.002700,0.067726
0.002800,0.069463
0.002900,0.069678
0.003000,0.154479
0.003100,0.026294
0.003200,0.020186
0.003300,0.004267
0.003400,0.074894
0.003500,0.099672
0.003600,0.036649
0.003700,-0.000538
0.003800,-0.000626
0.003900,0.072264
0.004000,0.076047
0.004100,0.065206
0.004200,0.003953
0.004300,0.048036
0.004400,0.041480
0.004500,0.045816
0.004600,0.077708
0.004700,0.044589
0.004800,0.066643
0.004900,0.035379
0.005000,0.045772
0.005100,0.062206
0.005200,-0.042883
0.005300,0.013330
0.005400,0.005137
0.005500,-0.003946
0.005600,0.013581
0.005700,0.101421
0.005800,-0.017288
0.005900,0.073739
0.006000,-0.059506
0.006100,0.007193
0.006200,0.031363
0.006300,0.051811
0.006400,0.057322
0.006500,0.060675
0.006600,0.002805
0.006700,-0.003657
0.006800,0.061566
0.006900,0.008296
0.007000,-0.046739
0.007100,-0.040446
0.007200,-0.030590
0.007300,0.039398
0.007400,0.020812
0.007500,0.047362
0.007600,-0.009382
0.007700,0.019049
0.007800,0.041541
0.007900,-0.006067
0.008000,0.031378
0.008100,-0.025418
0.008200,-0.011335
0.008300,-0.013130
0.008400,-0.054697
0.008500,0.028579
0.008600,-0.020108
0.008700,0.003113
0.008800,0.025643
0.008900,0.023039
0.009000,0.033074
0.009100,-0.006044
0.009200,-0.023230
0.009300,-0.007022
0.009400,-0.088402
0.009500,-0.077423
0.009600,-0.072272
0.009700,-0.057110
0.009800,0.011586
0.009900,-0.054882
0.010000,-0.029774
0.010100,0.052782
0.010200,-0.031366
0.010300,0.021889
0.010400,-0.063166
0.010500,-0.028319
0.010600,-0.067176
0.010700,-0.038319
0.010800,0.018892
0.010900,-0.111308
0.011000,-0.005098
0.011100,-0.016866
0.011200,-0.060445
0.011300,-0.105071
0.011400,-0.031231
0.011500,-0.063414
0.011600,-0.027431
0.011700,-0.040111
0.011800,0.036741
0.011900,-0.057453
0.012000,-0.098780
0.012100,-0.040731
0.012200,-0.040743
0.012300,0.014224
0.012400,-0.013903
0.012500,-0.039656
0.012600,0.013920
