time_s,voltage_v
0.000000,0.365140
0.000100,0.368755
0.000200,0.526034
0.000300,0.599939
0.000400,0.516165
0.000500,0.605618
0.000600,0.730167
0.000700,0.756916
0.000800,0.816650
0.000900,0.815345
0.001000,0.938195
0.001100,0.965069
0.001200,0.957203
0.001300,1.033827
0.001400,1.020346
0.001500,0.969587
0.001600,1.042800
0.001700,0.984641
0.001800,1.081342
0.001900,1.036589
0.002000,1.028573
0.002100,0.999812
0.002200,1.088593
0.002300,1.011174
0.002400,0.987007
0.002500,0.978693
0.002600,1.009403
0.002700,0.986413
0.002800,0.973241
0.002900,0.957952
0.003000,1.026864
0.003100,0.882599
0.003200,0.860401
0.003300,0.828542
0.003400,0.883518
0.003500,0.893057
0.003600,0.815306
0.003700,0.763981
0.003800,0.750403
0.003900,0.810490
0.004000,0.802170
0.004100,0.779927
0.004200,0.707953
0.004300,0.741954
0.004400,0.725906
0.004500,0.721271
0.004600,0.744634
0.004700,0.703338
0.004800,0.717471
0.004900,0.678438
0.005000,0.681105
0.005100,0.689749
0.005200,0.576696
0.005300,0.624664
0.005400,0.607843
0.005500,0.589652
0.005600,0.597502
0.005700,0.675017
0.005800,0.545265
0.005900,0.624472
0.006000,0.478586
0.006100,0.531792
0.006200,0.541596
0.006300,0.546801
0.006400,0.536202
0.006500,0.522598
0.006600,0.446960
0.006700,0.421967
0.006800,0.467954
0.006900,0.394813
0.007000,0.319346
0.007100,0.304735
0.007200,0.293304
0.007300,0.341716
0.007400,0.301363
0.007500,0.306051
0.007600,0.227448
0.007700,0.234114
0.007800,0.235025
0.007900,0.166101
0.008000,0.182568
0.008100,0.105194
0.008200,0.099153
0.008300,0.077726
0.008400,0.017046
0.008500,0.081741
0.008600,0.015002
0.008700,0.020682
0.008800,0.026150
0.008900,0.006915
0.009000,0.000688
0.009100,-0.054400
0.009200,-0.087352
0.009300,-0.086808
0.009400,-0.183861
0.009500,-0.188686
0.009600,-0.199596
0.009700,-0.200887
0.009800,-0.149171
0.009900,-0.233284
0.010000,-0.226621
0.010100,-0.163444
0.010200,-0.268031
0.010300,-0.236393
0.010400,-0.344350
0.010500,-0.333786
0.010600,-0.398386
0.010700,-0.396795
0.010800,-0.368417
0.010900,-0.529039
0.011000,-0.454842
0.011100,-0.500191
0.011200,-0.578872
0.011300,-0.660050
0.011400,-0.624117
0.011500,-0.695437
0.011600,-0.699675
0.011700,-0.753489
0.011800,-0.718487
0.011900,-0.855030
0.012000,-0.938965
0.012100,-0.923524
0.012200,-0.965868
0.012300,-0.952667
0.012400,-1.021690
0.012500,-1.087156
0.012600,-1.071790
0.012700,-1.242411
0.012800,-1.250704
0.012900,-1.298179
0.013000,-1.301536
0.013100,-1.377818
0.013200,-1.300601
0.013300,-1.362992
0.013400,-1.440821
0.013500,-1.429090
0.013600,-1.369075
0.013700,-1.344499
0.013800,-1.283277
0.013900,-1.229052
0.014000,-1.340484
0.014100,-1.391909
0.014200,-1.425008
0.014300,-1.275756
0.014400,-1.295340
0.014500,-1.235921
0.014600,-1.201256
0.014700,-1.128395
0.014800,-1.014170
0.014900,-1.001377
0.015000,-0.954841
0.015100,-0.932591
0.015200,-0.894990
0.015300,-0.762923
0.015400,-0.665928
0.015500,-0.497150
0.015600,-0.499427
0.015700,-0.375709
0.015800,-0.367658
0.015900,-0.319166
0.016000,-0.225214
0.016100,-0.130507
0.016200,0.094215
0.016300,0.027668
0.016400,0.190115
0.016500,0.180619
0.016600,0.347676
0.016700,0.393094
0.016800,0.435865
